品种,时间,MN1state,W1state,D1state
000021 深科技,2026-05-19 15:00:59,C,E,E
000021 深科技,2026-05-18 15:00:59,C,E,E
000021 深科技,2026-05-15 15:00:59,C,C,A
000021 深科技,2026-05-14 15:00:59,C,8,E
000021 深科技,2026-05-13 15:00:59,C,8,E
000021 深科技,2026-05-12 15:00:59,C,8,E
000026 180资源,2026-05-19 15:00:59,E,E,E
000026 180资源,2026-05-18 15:00:59,0,E,8
000026 180资源,2026-05-15 15:00:59,0,E,9
000026 180资源,2026-05-14 15:00:59,0,E,E
000026 180资源,2026-05-13 15:00:59,0,E,B
000026 180资源,2026-05-12 15:00:59,0,E,B
000159 沪股通,2026-05-19 15:00:59,C,E,E
000159 沪股通,2026-05-18 15:00:59,8,E,E
000159 沪股通,2026-05-15 15:00:59,8,E,E
000159 沪股通,2026-05-14 15:00:59,8,8,E
000159 沪股通,2026-05-13 15:00:59,8,-A,0
000159 沪股通,2026-05-12 15:00:59,8,-A,0
000404 长虹华意,2026-05-19 15:00:59,8,E,F
000404 长虹华意,2026-05-18 15:00:59,8,8,E
000404 长虹华意,2026-05-15 15:00:59,8,8,C
000404 长虹华意,2026-05-14 15:00:59,8,E,8
000404 长虹华意,2026-05-13 15:00:59,8,E,8
000404 长虹华意,2026-05-12 15:00:59,8,E,8
000543 皖能电力,2026-05-19 15:00:59,E,C,E
000543 皖能电力,2026-05-18 15:00:59,8,C,E
000543 皖能电力,2026-05-15 15:00:59,8,C,A
000543 皖能电力,2026-05-14 15:00:59,8,C,E
000543 皖能电力,2026-05-13 15:00:59,8,C,E
000543 皖能电力,2026-05-12 15:00:59,8,C,E
000685 中山公用,2026-05-19 15:00:59,C,E,E
000685 中山公用,2026-05-18 15:00:59,8,8,8
000685 中山公用,2026-05-15 15:00:59,8,8,-2
000685 中山公用,2026-05-14 15:00:59,8,8,0
000685 中山公用,2026-05-13 15:00:59,8,8,0
000685 中山公用,2026-05-12 15:00:59,8,8,8
000811 冰轮环境,2026-05-19 15:00:59,8,E,E
000811 冰轮环境,2026-05-18 15:00:59,8,E,A
000811 冰轮环境,2026-05-15 15:00:59,8,E,A
000811 冰轮环境,2026-05-14 15:00:59,8,E,E
000811 冰轮环境,2026-05-13 15:00:59,8,E,A
000811 冰轮环境,2026-05-12 15:00:59,8,E,E
000813 德展健康,2026-05-19 15:00:59,8,E,E
000813 德展健康,2026-05-18 15:00:59,8,A,B
000813 德展健康,2026-05-15 15:00:59,8,A,B
000813 德展健康,2026-05-14 15:00:59,8,A,B
000813 德展健康,2026-05-13 15:00:59,8,A,B
000813 德展健康,2026-05-12 15:00:59,8,A,F
001258 立新能源,2026-05-19 15:00:59,E,E,F
001258 立新能源,2026-05-18 15:00:59,A,E,E
001258 立新能源,2026-05-15 15:00:59,A,C,9
001258 立新能源,2026-05-14 15:00:59,A,C,9
001258 立新能源,2026-05-13 15:00:59,A,C,E
001258 立新能源,2026-05-12 15:00:59,A,C,C
001259 利仁科技,2026-05-19 15:00:59,C,E,E
001259 利仁科技,2026-05-18 15:00:59,8,E,E
001259 利仁科技,2026-05-15 15:00:59,8,E,E
001259 利仁科技,2026-05-14 15:00:59,8,E,E
001259 利仁科技,2026-05-13 15:00:59,8,E,E
001259 利仁科技,2026-05-12 15:00:59,8,E,E
002164 宁波东力,2026-05-19 15:00:59,C,E,E
002164 宁波东力,2026-05-18 15:00:59,0,2,A
002164 宁波东力,2026-05-15 15:00:59,0,2,E
002164 宁波东力,2026-05-14 15:00:59,0,0,8
002164 宁波东力,2026-05-13 15:00:59,0,0,A
002164 宁波东力,2026-05-12 15:00:59,0,0,A
002196 方正电机,2026-05-19 15:00:59,C,E,E
002196 方正电机,2026-05-18 15:00:59,8,A,6
002196 方正电机,2026-05-15 15:00:59,8,A,4
002196 方正电机,2026-05-14 15:00:59,8,8,0
002196 方正电机,2026-05-13 15:00:59,8,8,8
002196 方正电机,2026-05-12 15:00:59,8,8,8
002208 合肥城建,2026-05-19 15:00:59,C,E,E
002208 合肥城建,2026-05-18 15:00:59,8,E,A
002208 合肥城建,2026-05-15 15:00:59,8,E,E
002208 合肥城建,2026-05-14 15:00:59,8,A,E
002208 合肥城建,2026-05-13 15:00:59,8,A,E
002208 合肥城建,2026-05-12 15:00:59,8,8,E
002226 江南化工,2026-05-19 15:00:59,-C,E,F
